;EXPER-FINAL-ALTERNATIVO-1-50000-LARS2019-LRTA - COMPLETE50;

Max Interval - Mean
;1;4;7;10;13;16;
RSearch-NCount;1.129,200000;593,200000;565,600000;537,200000;527,200000;523,200000;
RSearch-Vaw;537,800000;491,600000;480,200000;514,000000;504,200000;507,200000;
RSearch-LRTA*-unit;1.152,800000;353,400000;228,400000;180,800000;152,600000;133,600000;
RSearch-Full-LRTA*;239,200000;74,400000;46,800000;37,800000;31,400000;27,800000;
RSearch-w-NC(No,+,No);237,800000;92,800000;77,600000;65,800000;66,200000;69,200000;
RSearch-w-NC(No,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(No,+,Pmin);25.735,200000;24.846,000000;21.487,200000;26.433,600000;22.391,800000;26.228,200000;
RSearch-w-NC(No,+,Dmin);237,800000;92,800000;77,600000;65,800000;66,200000;69,200000;
RSearch-w-NC(Unit,+,No);239,200000;216,200000;243,400000;284,000000;320,800000;384,400000;
RSearch-w-NC(Unit,+,Unit);242,600000;135,600000;125,800000;129,800000;139,800000;145,000000;
RSearch-w-NC(Unit,+,Pmin);3.581,600000;3.628,200000;3.667,400000;3.675,200000;3.589,400000;3.631,200000;
RSearch-w-NC(Unit,+,Dmin);239,200000;216,200000;243,400000;284,000000;320,800000;384,400000;
RSearch-w-NC(Pmin,+,No);236,200000;92,400000;77,400000;70,800000;69,400000;68,600000;
RSearch-w-NC(Pmin,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(Pmin,+,Pmin);20.725,200000;21.754,000000;20.188,400000;17.917,000000;18.003,800000;18.786,800000;
RSearch-w-NC(Pmin,+,Dmin);236,200000;92,400000;77,400000;70,800000;69,400000;68,600000;
RSearch-w-NC(Dmin,+,No);237,800000;92,800000;77,600000;65,800000;66,200000;69,200000;
RSearch-w-NC(Dmin,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(Dmin,+,Pmin);25.735,200000;24.846,000000;21.487,200000;26.433,600000;22.391,800000;26.228,200000;
RSearch-w-NC(Dmin,+,Dmin);237,800000;92,800000;77,600000;65,800000;66,200000;69,200000;
RSearch-w-NC(No,x,No);24.723,600000;21.130,600000;21.808,400000;21.022,200000;18.236,800000;23.153,600000;
RSearch-w-NC(No,x,Unit);1.129,000000;646,200000;606,000000;579,000000;592,200000;555,800000;
RSearch-w-NC(No,x,Pmin);24.731,000000;20.886,600000;21.808,400000;20.207,400000;18.236,800000;23.153,600000;
RSearch-w-NC(No,x,Dmin);314,200000;118,000000;93,600000;92,400000;89,400000;92,400000;
RSearch-w-NC(Unit,x,No);49.800,400000;49.907,600000;49.946,200000;49.965,400000;49.985,200000;49.994,200000;
RSearch-w-NC(Unit,x,Unit);2.675,600000;683,000000;463,200000;385,800000;341,600000;322,000000;
RSearch-w-NC(Unit,x,Pmin);49.800,400000;49.907,600000;49.946,200000;49.965,400000;49.985,200000;49.994,200000;
RSearch-w-NC(Unit,x,Dmin);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(Pmin,x,No);24.723,600000;21.130,600000;21.808,400000;21.022,200000;18.236,800000;23.153,600000;
RSearch-w-NC(Pmin,x,Unit);1.129,000000;646,200000;606,000000;579,000000;592,200000;555,800000;
RSearch-w-NC(Pmin,x,Pmin);24.731,000000;20.886,600000;21.808,400000;20.207,400000;18.236,800000;23.153,600000;
RSearch-w-NC(Pmin,x,Dmin);314,200000;118,000000;93,600000;92,400000;89,400000;92,400000;
RSearch-w-NC(Dmin,x,No);30.210,800000;25.425,800000;23.667,000000;21.063,400000;25.253,600000;19.164,200000;
RSearch-w-NC(Dmin,x,Unit);1.129,000000;646,200000;606,000000;579,000000;592,200000;555,800000;
RSearch-w-NC(Dmin,x,Pmin);30.210,800000;25.425,800000;24.177,600000;23.457,600000;25.253,600000;18.358,400000;
RSearch-w-NC(Dmin,x,Dmin);326,400000;129,200000;99,600000;95,800000;92,600000;94,200000;
RSearch-w-Vaw(No,+,No);119,800000;174,400000;228,600000;232,400000;253,800000;225,800000;
RSearch-w-Vaw(No,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;48.856,200000;
RSearch-w-Vaw(No,+,Pmin);26.978,600000;20.471,000000;21.397,800000;22.526,400000;22.334,600000;22.308,600000;
RSearch-w-Vaw(No,+,Dmin);119,800000;174,400000;228,600000;232,400000;253,800000;225,800000;
RSearch-w-Vaw(Unit,+,No);111,000000;422,800000;386,800000;427,200000;437,600000;464,800000;
RSearch-w-Vaw(Unit,+,Unit);138,000000;161,000000;158,800000;157,400000;146,800000;153,600000;
RSearch-w-Vaw(Unit,+,Pmin);4.615,600000;3.323,800000;3.699,600000;4.109,800000;3.300,200000;2.856,400000;
RSearch-w-Vaw(Unit,+,Dmin);111,000000;422,800000;386,800000;427,200000;437,600000;464,800000;
RSearch-w-Vaw(Pmin,+,No);116,400000;155,000000;203,800000;250,200000;239,400000;252,400000;
RSearch-w-Vaw(Pmin,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;48.856,200000;
RSearch-w-Vaw(Pmin,+,Pmin);26.488,800000;20.282,000000;23.966,800000;22.141,800000;22.595,600000;22.085,600000;
RSearch-w-Vaw(Pmin,+,Dmin);116,400000;155,000000;203,800000;250,200000;239,400000;252,400000;
RSearch-w-Vaw(Dmin,+,No);119,800000;174,400000;228,600000;232,400000;253,800000;225,800000;
RSearch-w-Vaw(Dmin,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;48.856,200000;
RSearch-w-Vaw(Dmin,+,Pmin);26.978,600000;20.471,000000;21.397,800000;22.526,400000;22.334,600000;22.308,600000;
RSearch-w-Vaw(Dmin,+,Dmin);119,800000;174,400000;228,600000;232,400000;253,800000;225,800000;
RSearch-w-Vaw(No,x,No);25.951,600000;24.054,200000;23.103,000000;23.624,200000;22.226,000000;21.860,200000;
RSearch-w-Vaw(No,x,Unit);557,800000;477,200000;515,600000;495,000000;538,400000;512,000000;
RSearch-w-Vaw(No,x,Pmin);25.951,600000;24.054,200000;23.103,000000;23.624,200000;22.226,000000;21.860,200000;
RSearch-w-Vaw(No,x,Dmin);105,200000;250,600000;329,200000;310,800000;327,200000;328,600000;
RSearch-w-Vaw(Unit,x,No);49.800,400000;49.907,600000;49.946,200000;49.965,400000;49.985,200000;49.994,200000;
RSearch-w-Vaw(Unit,x,Unit);650,800000;283,200000;211,600000;171,400000;147,400000;137,600000;
RSearch-w-Vaw(Unit,x,Pmin);49.800,400000;49.907,600000;49.946,200000;49.965,400000;49.985,200000;49.994,200000;
RSearch-w-Vaw(Unit,x,Dmin);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-Vaw(Pmin,x,No);25.951,600000;24.054,200000;23.103,000000;23.624,200000;22.226,000000;21.860,200000;
RSearch-w-Vaw(Pmin,x,Unit);557,800000;477,200000;515,600000;495,000000;538,400000;512,000000;
RSearch-w-Vaw(Pmin,x,Pmin);25.951,600000;24.054,200000;23.103,000000;23.624,200000;22.226,000000;21.860,200000;
RSearch-w-Vaw(Pmin,x,Dmin);105,200000;250,600000;329,200000;310,800000;327,200000;328,600000;
RSearch-w-Vaw(Dmin,x,No);25.972,000000;21.928,200000;23.108,400000;23.569,800000;24.121,800000;22.064,600000;
RSearch-w-Vaw(Dmin,x,Unit);557,800000;477,200000;515,600000;495,000000;538,400000;512,000000;
RSearch-w-Vaw(Dmin,x,Pmin);25.972,000000;21.928,200000;23.108,400000;23.569,800000;24.121,800000;22.064,600000;
RSearch-w-Vaw(Dmin,x,Dmin);105,000000;291,200000;298,400000;356,000000;323,400000;323,200000;


Max Interval - StdDev
;1;4;7;10;13;16;
RSearch-NCount;21,775215;21,442015;26,829834;1,833030;8,975522;9,724197;
RSearch-Vaw;15,367498;47,314268;31,977492;33,704599;22,193693;11,973304;
RSearch-LRTA*-unit;27,257293;9,329523;2,653300;3,059412;1,743560;1,624808;
RSearch-Full-LRTA*;10,833282;2,800000;0,748331;1,166190;1,200000;0,400000;
RSearch-w-NC(No,+,No);7,547185;5,564171;5,885576;2,481935;2,227106;4,534314;
RSearch-w-NC(No,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-NC(No,+,Pmin);2.186,374753;3.172,317954;3.495,394536;2.263,591712;6.245,801387;3.989,102175;
RSearch-w-NC(No,+,Dmin);7,547185;5,564171;5,885576;2,481935;2,227106;4,534314;
RSearch-w-NC(Unit,+,No);7,110556;8,352245;5,607138;14,268847;15,354478;15,512576;
RSearch-w-NC(Unit,+,Unit);5,535341;3,200000;3,867816;8,726970;15,892136;9,359487;
