;EXPER-FINAL-ALTERNATIVO-1-50000-LARS2019-LRTA - ISLANDS;

Max Interval - Mean
;1;4;7;10;13;16;
RSearch-NCount;3.435,000000;1.934,600000;1.890,800000;1.772,600000;1.980,200000;2.086,800000;
RSearch-Vaw;578,400000;553,400000;597,400000;669,400000;571,600000;610,600000;
RSearch-LRTA*-unit;1.479,600000;512,000000;341,000000;257,400000;223,400000;192,000000;
RSearch-Full-LRTA*;1.594,600000;681,000000;511,400000;459,000000;349,600000;348,000000;
RSearch-w-NC(No,+,No);5.032,800000;1.873,600000;1.567,600000;1.696,800000;1.725,800000;1.927,200000;
RSearch-w-NC(No,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;43.492,000000;
RSearch-w-NC(No,+,Pmin);45.961,600000;42.257,800000;36.503,200000;14.709,200000;13.321,400000;13.662,400000;
RSearch-w-NC(No,+,Dmin);5.032,800000;1.873,600000;1.567,600000;1.696,800000;1.725,800000;1.927,200000;
RSearch-w-NC(Unit,+,No);3.313,200000;1.905,200000;1.833,600000;1.799,200000;1.901,600000;2.205,400000;
RSearch-w-NC(Unit,+,Unit);50.000,000000;48.794,600000;44.307,200000;49.086,400000;49.589,600000;49.366,600000;
RSearch-w-NC(Unit,+,Pmin);30.610,600000;30.396,200000;24.426,600000;11.555,800000;20.933,000000;20.688,000000;
RSearch-w-NC(Unit,+,Dmin);3.313,200000;1.905,200000;1.833,600000;1.799,200000;1.901,600000;2.205,400000;
RSearch-w-NC(Pmin,+,No);3.293,400000;2.445,000000;2.680,800000;2.818,200000;3.196,400000;3.100,200000;
RSearch-w-NC(Pmin,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;40.181,000000;49.965,200000;
RSearch-w-NC(Pmin,+,Pmin);38.385,000000;39.008,400000;30.469,800000;31.851,200000;30.034,200000;22.302,400000;
RSearch-w-NC(Pmin,+,Dmin);3.139,800000;2.526,400000;2.930,600000;2.580,000000;3.020,400000;3.163,600000;
RSearch-w-NC(Dmin,+,No);5.032,800000;1.873,600000;1.567,600000;1.696,800000;1.725,800000;1.927,200000;
RSearch-w-NC(Dmin,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;43.492,000000;
RSearch-w-NC(Dmin,+,Pmin);45.961,600000;42.308,600000;36.680,400000;14.318,600000;13.406,400000;12.987,400000;
RSearch-w-NC(Dmin,+,Dmin);5.032,800000;1.873,600000;1.567,600000;1.696,800000;1.725,800000;1.927,200000;
RSearch-w-NC(No,x,No);36.789,600000;37.328,200000;33.657,200000;34.020,800000;19.958,200000;22.060,800000;
RSearch-w-NC(No,x,Unit);3.321,800000;1.909,600000;1.759,800000;1.606,200000;1.673,400000;1.798,600000;
RSearch-w-NC(No,x,Pmin);36.591,600000;35.942,000000;29.004,000000;30.682,800000;23.879,200000;27.309,600000;
RSearch-w-NC(No,x,Dmin);3.457,800000;2.524,800000;2.779,600000;2.765,400000;2.890,000000;2.987,200000;
RSearch-w-NC(Unit,x,No);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(Unit,x,Unit);3.074,200000;1.092,200000;569,600000;383,400000;294,000000;234,400000;
RSearch-w-NC(Unit,x,Pmin);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(Unit,x,Dmin);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(Pmin,x,No);36.846,800000;39.143,000000;33.735,200000;32.657,000000;22.465,600000;19.209,000000;
RSearch-w-NC(Pmin,x,Unit);3.321,800000;1.909,600000;1.759,800000;1.606,200000;1.673,400000;1.798,600000;
RSearch-w-NC(Pmin,x,Pmin);36.831,600000;36.079,400000;35.554,800000;25.439,800000;26.503,800000;20.744,200000;
RSearch-w-NC(Pmin,x,Dmin);3.457,800000;2.524,800000;2.779,600000;2.765,400000;2.890,000000;2.987,200000;
RSearch-w-NC(Dmin,x,No);44.496,200000;39.154,000000;33.689,200000;26.552,600000;22.291,200000;19.740,000000;
RSearch-w-NC(Dmin,x,Unit);3.321,800000;1.909,600000;1.759,800000;1.606,200000;1.673,400000;1.798,600000;
RSearch-w-NC(Dmin,x,Pmin);44.496,200000;39.154,000000;33.689,200000;26.552,600000;22.291,200000;19.740,000000;
RSearch-w-NC(Dmin,x,Dmin);4.512,600000;1.824,800000;1.570,800000;1.577,600000;1.849,800000;1.957,400000;
RSearch-w-Vaw(No,+,No);734,200000;604,000000;538,200000;478,200000;632,400000;527,200000;
RSearch-w-Vaw(No,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-Vaw(No,+,Pmin);48.818,200000;47.035,600000;41.887,400000;40.593,200000;39.037,000000;28.075,000000;
RSearch-w-Vaw(No,+,Dmin);734,200000;604,000000;538,200000;478,200000;632,400000;527,200000;
RSearch-w-Vaw(Unit,+,No);727,400000;542,400000;532,600000;617,800000;530,000000;557,200000;
RSearch-w-Vaw(Unit,+,Unit);50.000,000000;50.000,000000;50.000,000000;49.890,400000;49.939,000000;10.048,000000;
RSearch-w-Vaw(Unit,+,Pmin);33.631,800000;35.680,600000;30.735,600000;32.049,800000;32.204,000000;31.729,000000;
RSearch-w-Vaw(Unit,+,Dmin);727,400000;542,400000;532,600000;617,800000;530,000000;557,200000;
RSearch-w-Vaw(Pmin,+,No);727,400000;585,000000;654,000000;490,200000;575,400000;582,600000;
RSearch-w-Vaw(Pmin,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;40.009,200000;20.048,400000;
RSearch-w-Vaw(Pmin,+,Pmin);45.609,600000;40.054,600000;33.922,600000;28.186,400000;28.487,600000;30.433,600000;
RSearch-w-Vaw(Pmin,+,Dmin);727,400000;585,000000;654,000000;490,200000;575,400000;582,600000;
RSearch-w-Vaw(Dmin,+,No);734,200000;604,000000;538,200000;478,200000;632,400000;527,200000;
RSearch-w-Vaw(Dmin,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-Vaw(Dmin,+,Pmin);48.818,200000;47.035,600000;43.206,200000;40.593,200000;39.037,000000;28.075,000000;
RSearch-w-Vaw(Dmin,+,Dmin);734,200000;604,000000;538,200000;478,200000;632,400000;527,200000;
RSearch-w-Vaw(No,x,No);43.862,600000;35.922,400000;32.418,200000;36.925,600000;28.918,200000;29.452,000000;
RSearch-w-Vaw(No,x,Unit);648,200000;520,600000;639,400000;593,200000;600,400000;592,800000;
RSearch-w-Vaw(No,x,Pmin);43.862,600000;38.296,600000;32.950,200000;37.463,400000;29.395,000000;29.452,000000;
RSearch-w-Vaw(No,x,Dmin);727,400000;585,000000;549,000000;610,000000;577,400000;589,000000;
RSearch-w-Vaw(Unit,x,No);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-Vaw(Unit,x,Unit);1.652,000000;445,800000;275,800000;206,400000;162,000000;117,000000;
RSearch-w-Vaw(Unit,x,Pmin);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-Vaw(Unit,x,Dmin);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-Vaw(Pmin,x,No);43.862,600000;35.925,200000;32.418,200000;36.925,600000;28.918,200000;29.452,000000;
RSearch-w-Vaw(Pmin,x,Unit);648,200000;520,600000;639,400000;593,200000;600,400000;592,800000;
RSearch-w-Vaw(Pmin,x,Pmin);43.862,600000;38.296,600000;32.950,200000;37.463,400000;30.397,000000;29.449,600000;
RSearch-w-Vaw(Pmin,x,Dmin);727,400000;585,000000;549,000000;610,000000;577,400000;589,000000;
RSearch-w-Vaw(Dmin,x,No);48.184,800000;46.095,000000;45.196,000000;41.852,800000;39.496,600000;39.321,200000;
RSearch-w-Vaw(Dmin,x,Unit);648,200000;520,600000;639,400000;593,200000;600,400000;592,800000;
RSearch-w-Vaw(Dmin,x,Pmin);48.184,800000;46.095,000000;45.196,000000;41.852,800000;39.496,600000;39.321,200000;
RSearch-w-Vaw(Dmin,x,Dmin);734,200000;566,200000;529,000000;533,200000;581,200000;470,600000;


Max Interval - StdDev
;1;4;7;10;13;16;
RSearch-NCount;74,616352;120,506597;118,465860;99,989199;141,369587;162,379063;
RSearch-Vaw;56,905536;38,820613;100,605368;101,387573;102,144212;34,038801;
RSearch-LRTA*-unit;86,793087;23,013040;13,549908;14,444376;11,056220;10,954451;
RSearch-Full-LRTA*;88,264602;67,213094;28,499825;50,986273;12,435433;24,437676;
RSearch-w-NC(No,+,No);165,637435;148,049451;121,307213;173,345205;170,142764;201,340905;
RSearch-w-NC(No,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;13.012,000369;
RSearch-w-NC(No,+,Pmin);731,499720;4.750,301734;4.484,380778;1.168,138074;2.443,040204;2.618,295522;
RSearch-w-NC(No,+,Dmin);165,637435;148,049451;121,307213;173,345205;170,142764;201,340905;
RSearch-w-NC(Unit,+,No);177,607883;64,820984;89,943538;145,042614;137,751370;307,660592;
RSearch-w-NC(Unit,+,Unit);0,000000;1.642,834818;10.769,394494;701,178608;466,020858;536,960930;
RSearch-w-NC(Unit,+,Pmin);2.495,326560;3.845,957171;3.712,729594;12.603,101815;16.061,170941;11.086,405603;
RSearch-w-NC(Unit,+,Dmin);177,607883;64,820984;89,943538;145,042614;137,751370;307,660592;
RSearch-w-NC(Pmin,+,No);201,018009;126,806940;259,750188;390,096603;215,362578;171,458916;
RSearch-w-NC(Pmin,+,Unit);0,000000;0,000000;0,000000;0,000000;19.636,500034;55,416243;
RSearch-w-NC(Pmin,+,Pmin);1.879,238356;5.409,890113;4.792,575692;3.878,112654;1.293,673127;13.919,376503;
RSearch-w-NC(Pmin,+,Dmin);211,169505;76,035781;250,915603;384,020312;172,286506;125,385167;
RSearch-w-NC(Dmin,+,No);165,637435;148,049451;121,307213;173,345205;170,142764;201,340905;
RSearch-w-NC(Dmin,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;13.012,000369;
RSearch-w-NC(Dmin,+,Pmin);731,499720;4.705,924504;4.560,915636;2.166,380724;2.943,541309;3.287,716326;
RSearch-w-NC(Dmin,+,Dmin);165,637435;148,049451;121,307213;173,345205;170,142764;201,340905;
RSearch-w-NC(No,x,No);2.017,457469;1.819,412367;4.299,674704;8.280,822022;9.712,585884;3.364,106681;
RSearch-w-NC(No,x,Unit);145,885435;98,123596;82,489757;92,670168;46,176184;147,628723;
RSearch-w-NC(No,x,Pmin);2.222,688156;4.679,268191;7.948,031706;10.208,292265;9.472,431565;6.364,940804;
RSearch-w-NC(No,x,Dmin);273,373298;99,521656;334,001557;184,558500;403,857896;172,542632;
RSearch-w-NC(Unit,x,No);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-NC(Unit,x,Unit);121,885848;39,178566;35,057667;22,553049;22,378561;13,705473;
RSearch-w-NC(Unit,x,Pmin);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-NC(Unit,x,Dmin);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-NC(Pmin,x,No);2.044,873532;3.345,650012;4.346,312386;8.474,664454;8.565,070055;7.219,234447;
RSearch-w-NC(Pmin,x,Unit);145,885435;98,123596;82,489757;92,670168;46,176184;147,628723;
RSearch-w-NC(Pmin,x,Pmin);2.018,399822;5.912,498748;5.794,737143;14.227,199069;3.099,658717;11.754,464639;
RSearch-w-NC(Pmin,x,Dmin);273,373298;99,521656;334,001557;184,558500;403,857896;172,542632;
RSearch-w-NC(Dmin,x,No);1.959,850443;3.369,300640;3.970,646416;9.012,425081;12.940,607921;13.249,643044;
RSearch-w-NC(Dmin,x,Unit);145,885435;98,123596;82,489757;92,670168;46,176184;147,628723;
RSearch-w-NC(Dmin,x,Pmin);1.959,850443;3.369,300640;3.970,646416;9.012,425081;12.940,607921;13.249,643044;
RSearch-w-NC(Dmin,x,Dmin);144,672872;36,207182;181,146791;213,482177;189,339272;241,682105;
RSearch-w-Vaw(No,+,No);48,168039;84,365870;70,609914;80,135885;75,626979;52,837108;
RSearch-w-Vaw(No,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-Vaw(No,+,Pmin);1.072,081788;1.894,412796;4.166,596914;5.493,150877;3.151,133955;5.675,388727;
