;EXPER-FINAL-ALTERNATIVO-1-50000-LARS2019-LRTA - MAPA;

Max Interval - Mean
;1;4;7;10;13;16;
RSearch-NCount;1.486,000000;530,000000;463,400000;498,200000;457,400000;460,600000;
RSearch-Vaw;836,800000;885,600000;948,200000;861,000000;736,800000;742,200000;
RSearch-LRTA*-unit;1.706,200000;520,800000;337,800000;267,800000;231,000000;196,000000;
RSearch-Full-LRTA*;1.318,200000;540,000000;411,800000;358,800000;329,400000;315,000000;
RSearch-w-NC(No,+,No);3.106,400000;926,400000;625,400000;504,600000;429,000000;435,000000;
RSearch-w-NC(No,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(No,+,Pmin);38.195,200000;38.872,200000;37.074,400000;38.774,600000;32.686,000000;37.012,600000;
RSearch-w-NC(No,+,Dmin);3.106,400000;926,400000;625,400000;504,600000;429,000000;435,000000;
RSearch-w-NC(Unit,+,No);1.174,400000;591,600000;635,600000;622,200000;656,000000;821,200000;
RSearch-w-NC(Unit,+,Unit);1.536,400000;625,200000;527,600000;477,400000;500,000000;373,800000;
RSearch-w-NC(Unit,+,Pmin);15.561,400000;16.879,400000;15.643,200000;14.517,400000;15.793,800000;14.720,800000;
RSearch-w-NC(Unit,+,Dmin);1.174,400000;591,600000;635,600000;622,200000;656,000000;821,200000;
RSearch-w-NC(Pmin,+,No);1.165,600000;678,600000;750,400000;697,200000;769,000000;756,000000;
RSearch-w-NC(Pmin,+,Unit);50.000,000000;50.000,000000;49.996,400000;46.771,200000;46.586,000000;49.994,600000;
RSearch-w-NC(Pmin,+,Pmin);26.490,400000;22.406,400000;24.026,200000;27.842,800000;24.091,800000;26.667,400000;
RSearch-w-NC(Pmin,+,Dmin);1.287,800000;689,200000;722,200000;700,600000;747,800000;781,400000;
RSearch-w-NC(Dmin,+,No);3.106,400000;926,400000;625,400000;504,600000;429,000000;435,000000;
RSearch-w-NC(Dmin,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(Dmin,+,Pmin);38.321,000000;40.178,800000;35.403,000000;35.603,200000;31.868,000000;33.842,200000;
RSearch-w-NC(Dmin,+,Dmin);3.106,400000;926,400000;625,400000;504,600000;429,000000;435,000000;
RSearch-w-NC(No,x,No);24.278,200000;28.925,200000;25.376,200000;27.966,800000;26.578,600000;27.256,000000;
RSearch-w-NC(No,x,Unit);1.502,600000;519,400000;423,000000;384,600000;350,400000;369,200000;
RSearch-w-NC(No,x,Pmin);24.041,600000;26.161,200000;21.978,400000;26.449,600000;26.218,200000;26.694,800000;
RSearch-w-NC(No,x,Dmin);1.332,800000;721,400000;729,000000;841,000000;753,400000;843,600000;
RSearch-w-NC(Unit,x,No);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(Unit,x,Unit);1.772,200000;526,000000;327,200000;240,200000;193,800000;159,000000;
RSearch-w-NC(Unit,x,Pmin);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(Unit,x,Dmin);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-NC(Pmin,x,No);24.170,000000;28.262,400000;25.364,800000;23.809,000000;26.459,800000;29.057,400000;
RSearch-w-NC(Pmin,x,Unit);1.502,600000;519,400000;423,000000;384,600000;350,400000;369,200000;
RSearch-w-NC(Pmin,x,Pmin);25.098,600000;22.997,000000;25.380,600000;25.493,600000;26.315,600000;26.037,800000;
RSearch-w-NC(Pmin,x,Dmin);1.332,800000;721,400000;729,000000;841,000000;753,400000;843,600000;
RSearch-w-NC(Dmin,x,No);41.890,600000;41.300,000000;37.842,800000;33.271,000000;32.837,800000;34.454,600000;
RSearch-w-NC(Dmin,x,Unit);1.502,600000;519,400000;423,000000;384,600000;350,400000;369,200000;
RSearch-w-NC(Dmin,x,Pmin);41.900,800000;36.694,000000;38.916,600000;32.650,000000;35.588,200000;30.606,200000;
RSearch-w-NC(Dmin,x,Dmin);3.138,800000;918,200000;633,400000;522,800000;516,600000;536,600000;
RSearch-w-Vaw(No,+,No);756,000000;754,800000;898,000000;792,600000;930,200000;800,400000;
RSearch-w-Vaw(No,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-Vaw(No,+,Pmin);45.147,200000;44.610,800000;41.726,200000;40.000,600000;43.252,400000;39.351,800000;
RSearch-w-Vaw(No,+,Dmin);756,000000;754,800000;898,000000;792,600000;930,200000;800,400000;
RSearch-w-Vaw(Unit,+,No);682,400000;861,400000;756,200000;901,000000;737,400000;826,800000;
RSearch-w-Vaw(Unit,+,Unit);2.814,000000;1.126,600000;665,600000;517,200000;456,600000;411,400000;
RSearch-w-Vaw(Unit,+,Pmin);32.498,400000;29.671,800000;28.070,600000;25.409,200000;27.281,200000;27.873,600000;
RSearch-w-Vaw(Unit,+,Dmin);682,400000;861,400000;756,200000;901,000000;737,400000;826,800000;
RSearch-w-Vaw(Pmin,+,No);690,000000;702,600000;788,400000;780,600000;849,200000;892,000000;
RSearch-w-Vaw(Pmin,+,Unit);50.000,000000;50.000,000000;49.817,600000;49.994,000000;47.998,800000;49.978,600000;
RSearch-w-Vaw(Pmin,+,Pmin);38.851,800000;38.481,800000;32.485,600000;31.791,800000;30.626,800000;26.300,000000;
RSearch-w-Vaw(Pmin,+,Dmin);690,000000;710,800000;788,400000;813,800000;849,200000;892,000000;
RSearch-w-Vaw(Dmin,+,No);756,000000;754,800000;898,000000;792,600000;930,200000;800,400000;
RSearch-w-Vaw(Dmin,+,Unit);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-Vaw(Dmin,+,Pmin);45.147,200000;44.610,800000;41.984,600000;40.162,400000;43.252,400000;39.351,800000;
RSearch-w-Vaw(Dmin,+,Dmin);756,000000;754,800000;898,000000;792,600000;930,200000;800,400000;
RSearch-w-Vaw(No,x,No);38.195,600000;34.427,800000;32.077,400000;35.758,800000;36.821,400000;30.226,200000;
RSearch-w-Vaw(No,x,Unit);840,400000;731,400000;767,400000;719,200000;707,800000;728,600000;
RSearch-w-Vaw(No,x,Pmin);38.195,600000;36.354,400000;32.077,400000;34.019,200000;36.821,400000;30.226,200000;
RSearch-w-Vaw(No,x,Dmin);690,000000;713,200000;740,800000;964,400000;798,800000;847,000000;
RSearch-w-Vaw(Unit,x,No);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-Vaw(Unit,x,Unit);1.848,000000;571,200000;323,200000;214,800000;182,400000;159,200000;
RSearch-w-Vaw(Unit,x,Pmin);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-Vaw(Unit,x,Dmin);50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;50.000,000000;
RSearch-w-Vaw(Pmin,x,No);38.195,600000;34.427,800000;32.077,400000;35.758,800000;36.821,400000;30.226,200000;
RSearch-w-Vaw(Pmin,x,Unit);840,400000;731,400000;767,400000;719,200000;707,800000;728,600000;
RSearch-w-Vaw(Pmin,x,Pmin);38.195,600000;36.354,400000;33.807,000000;35.758,800000;35.326,000000;29.635,000000;
RSearch-w-Vaw(Pmin,x,Dmin);690,000000;713,200000;740,800000;964,400000;798,800000;847,000000;
RSearch-w-Vaw(Dmin,x,No);46.309,800000;43.113,000000;41.961,000000;40.294,800000;40.930,000000;41.248,000000;
RSearch-w-Vaw(Dmin,x,Unit);840,400000;731,400000;767,400000;719,200000;707,800000;728,600000;
RSearch-w-Vaw(Dmin,x,Pmin);46.309,800000;44.173,800000;41.961,000000;40.294,800000;40.930,000000;41.248,000000;
RSearch-w-Vaw(Dmin,x,Dmin);654,400000;797,400000;558,600000;802,600000;815,200000;666,600000;


Max Interval - StdDev
;1;4;7;10;13;16;
RSearch-NCount;65,118354;20,000000;49,665280;100,694389;61,222872;41,706594;
RSearch-Vaw;218,820840;101,965877;137,258005;94,286797;224,812277;81,002222;
RSearch-LRTA*-unit;48,354524;37,391978;19,620398;23,404273;9,633276;12,377399;
RSearch-Full-LRTA*;57,073286;23,143034;24,620317;20,807691;40,346499;23,773935;
RSearch-w-NC(No,+,No);109,007523;16,094720;15,186836;26,066070;35,054244;16,946976;
RSearch-w-NC(No,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-NC(No,+,Pmin);4.426,541467;2.103,184195;4.741,487682;4.896,943193;2.178,041322;6.206,072400;
RSearch-w-NC(No,+,Dmin);109,007523;16,094720;15,186836;26,066070;35,054244;16,946976;
RSearch-w-NC(Unit,+,No);45,124716;54,426464;87,525082;50,617783;68,844753;121,601645;
RSearch-w-NC(Unit,+,Unit);198,359875;55,221010;25,632791;53,477472;81,338798;24,424578;
RSearch-w-NC(Unit,+,Pmin);1.480,453660;1.982,928904;1.561,991729;1.910,218270;1.613,819370;1.649,406972;
RSearch-w-NC(Unit,+,Dmin);45,124716;54,426464;87,525082;50,617783;68,844753;121,601645;
RSearch-w-NC(Pmin,+,No);52,446544;24,888552;163,163231;76,768223;76,275815;19,318385;
RSearch-w-NC(Pmin,+,Unit);0,000000;0,000000;4,586938;6.456,100105;6.783,587576;10,800000;
RSearch-w-NC(Pmin,+,Pmin);3.435,839496;3.673,983157;7.352,644134;4.538,498007;3.941,364403;6.069,435611;
RSearch-w-NC(Pmin,+,Dmin);72,631674;47,372566;74,216979;84,127522;15,118201;44,603139;
RSearch-w-NC(Dmin,+,No);109,007523;16,094720;15,186836;26,066070;35,054244;16,946976;
RSearch-w-NC(Dmin,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-NC(Dmin,+,Pmin);4.243,783265;4.054,500384;5.191,377004;5.491,373067;6.304,368898;2.843,577845;
RSearch-w-NC(Dmin,+,Dmin);109,007523;16,094720;15,186836;26,066070;35,054244;16,946976;
RSearch-w-NC(No,x,No);992,387102;4.672,053227;6.453,450345;3.548,554714;4.604,439797;4.989,466705;
RSearch-w-NC(No,x,Unit);95,934561;47,638640;30,305115;64,969531;23,354657;37,370577;
RSearch-w-NC(No,x,Pmin);2.123,879902;1.185,334113;4.377,582465;4.670,081353;2.928,652755;2.987,636618;
RSearch-w-NC(No,x,Dmin);49,515250;67,937030;63,949980;89,158286;44,933729;79,419393;
RSearch-w-NC(Unit,x,No);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-NC(Unit,x,Unit);97,608196;26,283074;13,847743;22,824548;15,509997;4,289522;
RSearch-w-NC(Unit,x,Pmin);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-NC(Unit,x,Dmin);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-NC(Pmin,x,No);951,939704;4.950,205394;3.281,988263;2.230,601982;3.383,475160;5.598,593309;
RSearch-w-NC(Pmin,x,Unit);95,934561;47,638640;30,305115;64,969531;23,354657;37,370577;
RSearch-w-NC(Pmin,x,Pmin);1.578,371642;2.084,020345;3.522,093105;2.560,650902;4.349,314502;5.412,055077;
RSearch-w-NC(Pmin,x,Dmin);49,515250;67,937030;63,949980;89,158286;44,933729;79,419393;
RSearch-w-NC(Dmin,x,No);933,869498;3.615,242564;7.821,036489;4.373,074754;4.861,802110;4.928,189388;
RSearch-w-NC(Dmin,x,Unit);95,934561;47,638640;30,305115;64,969531;23,354657;37,370577;
RSearch-w-NC(Dmin,x,Pmin);1.009,429819;3.085,899350;4.595,974874;5.061,217680;5.268,141357;7.699,117025;
RSearch-w-NC(Dmin,x,Dmin);253,585804;52,212642;30,322269;69,190751;25,989229;44,125276;
RSearch-w-Vaw(No,+,No);167,646056;96,206860;50,647804;121,387973;178,652064;92,789224;
RSearch-w-Vaw(No,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-Vaw(No,+,Pmin);3.476,680509;2.038,571598;5.247,209902;1.806,220983;2.712,061400;5.290,461810;
RSearch-w-Vaw(No,+,Dmin);167,646056;96,206860;50,647804;121,387973;178,652064;92,789224;
RSearch-w-Vaw(Unit,+,No);152,395013;106,749426;143,175976;57,570826;73,475438;112,959108;
RSearch-w-Vaw(Unit,+,Unit);0,000000;90,524251;35,668473;36,569933;33,785204;22,535306;
RSearch-w-Vaw(Unit,+,Pmin);3.822,531287;3.876,580421;3.782,868890;3.414,644075;4.815,291451;3.852,587110;
RSearch-w-Vaw(Unit,+,Dmin);152,395013;106,749426;143,175976;57,570826;73,475438;112,959108;
RSearch-w-Vaw(Pmin,+,No);160,639970;78,787309;91,197807;89,195516;79,938476;60,023329;
RSearch-w-Vaw(Pmin,+,Unit);0,000000;0,000000;364,800000;10,564090;1.832,727519;42,800000;
RSearch-w-Vaw(Pmin,+,Pmin);4.658,799476;4.586,412472;1.445,901048;3.970,598111;2.529,305786;1.178,023599;
RSearch-w-Vaw(Pmin,+,Dmin);160,639970;86,506416;91,197807;81,329945;79,938476;60,023329;
RSearch-w-Vaw(Dmin,+,No);167,646056;96,206860;50,647804;121,387973;178,652064;92,789224;
RSearch-w-Vaw(Dmin,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-Vaw(Dmin,+,Pmin);3.476,680509;2.038,571598;5.412,273925;1.700,657473;2.712,061400;5.290,461810;
RSearch-w-Vaw(Dmin,+,Dmin);167,646056;96,206860;50,647804;121,387973;178,652064;92,789224;
RSearch-w-Vaw(No,x,No);4.494,733478;2.686,088785;3.323,213722;4.766,216462;2.305,809238;607,693804;
RSearch-w-Vaw(No,x,Unit);117,746507;142,776188;114,475500;105,237636;120,512904;66,098714;
RSearch-w-Vaw(No,x,Pmin);4.494,733478;4.752,986665;3.323,213722;1.689,398283;2.305,809238;607,693804;
RSearch-w-Vaw(No,x,Dmin);160,639970;140,610668;147,970808;162,125384;126,119626;98,861519;
RSearch-w-Vaw(Unit,x,No);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-Vaw(Unit,x,Unit);78,322411;23,625410;27,132269;8,863408;4,223742;4,874423;
