;EXPERIMENT;

Desvio Padrão das Frequências
;2;4;6;8;10;12;14;16;18;20;
Node Counting;0,000080;0,000171;0,000203;0,000267;0,000298;0,000358;0,000539;0,000516;0,000561;0,000721;
Edge Counting;0,000431;0,000847;0,001277;0,001688;0,002111;0,002533;0,002957;0,003362;0,003795;0,004212;
LRTA Default;0,000431;0,000847;0,001387;0,001747;0,002137;0,002584;0,003151;0,003519;0,003918;0,004492;
LRTA Thrun's Rule;0,000284;0,000473;0,000625;0,000841;0,000987;0,001176;0,001434;0,001535;0,001720;0,001946;
LRTA Wagner's Rule;0,000427;0,000880;0,001108;0,001921;0,002139;0,002485;0,003014;0,003442;0,003889;0,004546;
Reactive With Flags;0,000344;0,000913;0,001087;0,001329;0,002010;0,002016;0,002231;0,002433;0,003496;0,003024;
BaloonDfs;0,004307;0,005298;0,006218;0,007235;0,008559;0,010193;0,014811;0,008384;0,008440;0,010340;


Desvio Padrão dos Intervalos
;2;4;6;8;10;12;14;16;18;20;
Node Counting;599,008637;454,036889;306,597731;285,881560;206,917496;192,364900;187,740375;161,851244;155,330960;148,936378;
Edge Counting;649,970637;282,168023;208,282144;149,692389;121,649990;94,661263;86,339911;74,014895;60,820954;59,987251;
LRTA Default;615,798975;461,555911;275,208129;232,140239;214,807015;197,106359;181,161181;167,591344;161,541063;156,107304;
LRTA Thrun's Rule;603,161392;429,926177;262,837749;247,517048;201,899887;183,419302;175,756187;155,150554;143,343672;144,888953;
LRTA Wagner's Rule;633,270119;462,964314;257,013342;231,765956;209,598734;192,037651;180,374697;171,297312;156,935104;159,462073;
Reactive With Flags;545,480433;387,487306;226,454714;199,331600;178,517455;156,889910;148,165104;141,040459;130,418738;127,933762;
BaloonDfs;2.384,640285;1.407,844002;1.010,846933;729,135807;658,359689;528,156839;646,350854;282,835997;186,718748;204,571628;


Intervalo quadrático médio
;2;4;6;8;10;12;14;16;18;20;
Node Counting;637,275856;467,038628;315,193611;291,103093;211,531228;195,821544;190,349320;164,168792;157,241554;150,552020;
Edge Counting;685,398095;302,646371;220,740606;159,438582;129,342065;101,501777;91,875044;78,954356;65,546958;63,893267;
LRTA Default;653,082998;474,351576;284,753229;238,541159;219,254781;200,481264;183,863512;169,830575;163,379045;157,649468;
LRTA Thrun's Rule;641,180784;443,635184;272,816027;253,530018;206,625694;187,041351;178,540350;157,566695;145,411864;146,549225;
LRTA Wagner's Rule;669,581896;475,722094;267,209221;238,176935;214,154705;195,500082;183,088637;173,488713;158,826401;160,972099;
Reactive With Flags;587,246544;402,644005;237,963615;206,750831;183,845336;161,109532;151,457343;143,694063;132,688553;129,811085;
BaloonDfs;2.394,531452;1.412,088529;1.013,486145;731,198310;659,823866;529,425331;647,113168;284,168471;188,311129;205,750828;


Intervalo Máximo
;2;4;6;8;10;12;14;16;18;20;
Node Counting;11.557,000000;11.725,000000;9.827,000000;8.663,000000;8.373,000000;7.091,000000;8.801,000000;6.981,000000;7.075,000000;7.706,000000;
Edge Counting;7.259,000000;3.988,000000;3.262,000000;2.854,000000;2.039,000000;1.510,000000;1.454,000000;1.320,000000;1.217,000000;1.206,000000;
LRTA Default;7.859,000000;6.695,000000;4.091,000000;3.276,000000;4.210,000000;4.056,000000;3.397,000000;3.484,000000;3.364,000000;4.040,000000;
LRTA Thrun's Rule;7.107,000000;5.699,000000;3.441,000000;4.895,000000;3.307,000000;3.507,000000;3.703,000000;3.182,000000;3.263,000000;3.209,000000;
LRTA Wagner's Rule;6.223,000000;5.865,000000;3.570,000000;3.586,000000;3.507,000000;3.609,000000;3.124,000000;3.399,000000;3.718,000000;4.100,000000;
Reactive With Flags;5.681,000000;5.825,000000;3.849,000000;3.730,000000;3.289,000000;2.937,000000;2.786,000000;2.821,000000;3.485,000000;3.072,000000;
BaloonDfs;35.001,000000;35.001,000000;35.001,000000;35.001,000000;35.001,000000;35.001,000000;35.001,000000;35.001,000000;35.001,000000;35.001,000000;


Gap of Mean Time
;2;4;6;8;10;12;14;16;18;20;
Node Counting;161,567934;66,881711;49,155256;28,403482;20,606176;17,244833;23,066214;14,862532;12,447912;13,317857;
Edge Counting;1.118,559466;572,713885;381,357992;290,789913;239,891135;193,489856;164,237558;147,720739;128,941374;116,020398;
LRTA Default;682,807559;349,350512;247,765840;190,784894;137,366562;117,862863;106,956236;83,308031;85,671962;69,223099;
LRTA Thrun's Rule;529,029960;322,070393;204,301623;145,817077;123,591102;86,716473;86,808036;68,459758;62,202017;62,482842;
LRTA Wagner's Rule;682,807559;326,349650;210,107104;196,624002;127,504639;110,869381;105,689440;84,119883;74,829419;74,593486;
Reactive With Flags;532,574855;287,217752;188,747309;139,545589;123,260782;95,424649;65,957408;60,023520;57,317933;43,983260;
BaloonDfs;34.947,644817;34.958,211491;34.968,918423;34.970,722318;34.976,794606;34.984,364544;34.986,299874;34.985,485372;34.984,253110;34.987,782100;


